,iat,lt,tot,pt,name,mean,uf
90,60.0,20.0,15.0,60.0,Runwayutilization:last,0.58332743064901,0.5833333333333334
91,60.0,20.0,15.0,75.0,AirportResponseTime:mean,110.0,0.5833333333333334
92,60.0,20.0,15.0,75.0,DepartQueueSize:mean,0.0,0.5833333333333334
93,60.0,20.0,15.0,75.0,DepartQueueWaitingTime:mean,0.0,0.5833333333333334
94,60.0,20.0,15.0,75.0,HoldingQueueSize:mean,0.0,0.5833333333333334
95,60.0,20.0,15.0,75.0,HoldingQueueWaitingTime:mean,0.0,0.5833333333333334
96,60.0,20.0,15.0,75.0,ParkedPlanes:mean,1.4999975000125,0.5833333333333334
97,60.0,20.0,15.0,75.0,Runwayutilization:last,0.5833259723571701,0.5833333333333334
98,60.0,20.0,15.0,90.0,AirportResponseTime:mean,136.25,0.5833333333333334
99,60.0,20.0,15.0,90.0,DepartQueueSize:mean,0.2,0.5833333333333334
100,60.0,20.0,15.0,90.0,DepartQueueWaitingTime:mean,3.75,0.5833333333333334
101,60.0,20.0,15.0,90.0,HoldingQueueSize:mean,0.42856653066822,0.5833333333333334
102,60.0,20.0,15.0,90.0,HoldingQueueWaitingTime:mean,7.4998500029999,0.5833333333333334
103,60.0,20.0,15.0,90.0,ParkedPlanes:mean,1.5,0.5833333333333334
104,60.0,20.0,15.0,90.0,Runwayutilization:last,0.58332493077262,0.5833333333333334
105,60.0,20.0,20.0,60.0,AirportResponseTime:mean,100.0,0.6666666666666666
106,60.0,20.0,20.0,60.0,DepartQueueSize:mean,0.5,0.6666666666666666
107,60.0,20.0,20.0,60.0,DepartQueueWaitingTime:mean,0.0,0.6666666666666666
108,60.0,20.0,20.0,60.0,HoldingQueueSize:mean,0.0,0.6666666666666666
109,60.0,20.0,20.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.6666666666666666
110,60.0,20.0,20.0,60.0,ParkedPlanes:mean,0.5000024999875,0.6666666666666666
111,60.0,20.0,20.0,60.0,Runwayutilization:last,0.66665888901852,0.6666666666666666
112,60.0,20.0,20.0,75.0,AirportResponseTime:mean,115.0,0.6666666666666666
113,60.0,20.0,20.0,75.0,DepartQueueSize:mean,0.0,0.6666666666666666
114,60.0,20.0,20.0,75.0,DepartQueueWaitingTime:mean,0.0,0.6666666666666666
115,60.0,20.0,20.0,75.0,HoldingQueueSize:mean,0.0,0.6666666666666666
116,60.0,20.0,20.0,75.0,HoldingQueueWaitingTime:mean,0.0,0.6666666666666666
117,60.0,20.0,20.0,75.0,ParkedPlanes:mean,1.4999975000125,0.6666666666666666
118,60.0,20.0,20.0,75.0,Runwayutilization:last,0.66665722240324,0.6666666666666666
119,60.0,20.0,20.0,90.0,AirportResponseTime:mean,143.333,0.6666666666666666
120,60.0,20.0,20.0,90.0,DepartQueueSize:mean,0.249992499925,0.6666666666666666
121,60.0,20.0,20.0,90.0,DepartQueueWaitingTime:mean,3.3332,0.6666666666666666
122,60.0,20.0,20.0,90.0,HoldingQueueSize:mean,0.4000023999664,0.6666666666666666
123,60.0,20.0,20.0,90.0,HoldingQueueWaitingTime:mean,9.999900001,0.6666666666666666
124,60.0,20.0,20.0,90.0,ParkedPlanes:mean,1.4999975000125,0.6666666666666666
125,60.0,20.0,20.0,90.0,Runwayutilization:last,0.66665444472962,0.6666666666666666
126,60.0,20.0,25.0,60.0,AirportResponseTime:mean,105.0,0.75
127,60.0,20.0,25.0,60.0,DepartQueueSize:mean,0.5,0.75
128,60.0,20.0,25.0,60.0,DepartQueueWaitingTime:mean,0.0,0.75
129,60.0,20.0,25.0,60.0,HoldingQueueSize:mean,0.0,0.75
130,60.0,20.0,25.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.75
131,60.0,20.0,25.0,60.0,ParkedPlanes:mean,0.5000024999875,0.75
132,60.0,20.0,25.0,60.0,Runwayutilization:last,0.7499902085046801,0.75
133,60.0,20.0,25.0,75.0,AirportResponseTime:mean,120.0,0.75
134,60.0,20.0,25.0,75.0,DepartQueueSize:mean,0.0,0.75
135,60.0,20.0,25.0,75.0,DepartQueueWaitingTime:mean,0.0,0.75
136,60.0,20.0,25.0,75.0,HoldingQueueSize:mean,0.4999975000125,0.75
137,60.0,20.0,25.0,75.0,HoldingQueueWaitingTime:mean,0.0,0.75
138,60.0,20.0,25.0,75.0,ParkedPlanes:mean,1.4999975000125,0.75
139,60.0,20.0,25.0,75.0,Runwayutilization:last,0.74998833356666,0.75
140,60.0,20.0,25.0,90.0,AirportResponseTime:mean,150.0,0.75
141,60.0,20.0,25.0,90.0,DepartQueueSize:mean,0.33333333333333,0.75
142,60.0,20.0,25.0,90.0,DepartQueueWaitingTime:mean,7.5,0.75
143,60.0,20.0,25.0,90.0,HoldingQueueSize:mean,0.33332888894815,0.75
144,60.0,20.0,25.0,90.0,HoldingQueueWaitingTime:mean,7.4998500029999,0.75
145,60.0,20.0,25.0,90.0,ParkedPlanes:mean,1.5,0.75
146,60.0,20.0,25.0,90.0,Runwayutilization:last,0.74998604205051,0.75
147,60.0,20.0,30.0,60.0,AirportResponseTime:mean,110.0,0.8333333333333334
148,60.0,20.0,30.0,60.0,DepartQueueSize:mean,0.5,0.8333333333333334
149,60.0,20.0,30.0,60.0,DepartQueueWaitingTime:mean,0.0,0.8333333333333334
150,60.0,20.0,30.0,60.0,HoldingQueueSize:mean,0.0,0.8333333333333334
151,60.0,20.0,30.0,60.0,HoldingQueueWaitingTime:mean,0.0,0.8333333333333334
152,60.0,20.0,30.0,60.0,ParkedPlanes:mean,0.5000024999875,0.8333333333333334
153,60.0,20.0,30.0,60.0,Runwayutilization:last,0.83332138910787,0.8333333333333334
154,60.0,20.0,30.0,75.0,AirportResponseTime:mean,147.9987,0.8333333333333334
155,60.0,20.0,30.0,75.0,DepartQueueSize:mean,0.37497656162106,0.8333333333333334
156,60.0,20.0,30.0,75.0,DepartQueueWaitingTime:mean,4.9995,0.8333333333333334
157,60.0,20.0,30.0,75.0,HoldingQueueSize:mean,0.44444814808642,0.8333333333333334
158,60.0,20.0,30.0,75.0,HoldingQueueWaitingTime:mean,17.9993200068,0.8333333333333334
159,60.0,20.0,30.0,75.0,ParkedPlanes:mean,1.1000494997525,0.8333333333333334
160,60.0,20.0,30.0,75.0,Runwayutilization:last,0.8333172225981399,0.8333333333333334
161,60.0,20.0,30.0,90.0,AirportResponseTime:mean,155.0,0.8333333333333334
162,60.0,20.0,30.0,90.0,DepartQueueSize:mean,0.42857142857143,0.8333333333333334
163,60.0,20.0,30.0,90.0,DepartQueueWaitingTime:mean,5.0,0.8333333333333334
164,60.0,20.0,30.0,90.0,HoldingQueueSize:mean,0.33332888894815,0.8333333333333334
165,60.0,20.0,30.0,90.0,HoldingQueueWaitingTime:mean,9.999800003999901,0.8333333333333334
