"","x"
"827",0.210366
"828",0.106912
"829",0.0394266
"830",0.0631426
"831",0.119507
"832",0.113491
"833",0.0490884
"834",0.149863
"835",0.336099
"836",0.0899503
"837",0.0559585
"838",0.158192
"839",0.143628
"840",0.227307
"841",0.0446165
"842",0.0981058
"843",0.10529
"844",0.0762262
"845",0.119683
"846",0.175253
"847",0.0317813
"848",0.00343001
"849",0.0582565
"850",0.0488833
"851",0.045596
"852",0.0842894
"853",0.236332
"854",0.0232544
"855",0.0122496
"856",0.085502
"857",0.032663
"858",0.0239403
"859",0.304718
"860",0.0840847
"861",0.0805212
"862",0.0293484
"863",0.0948506
"864",0.0375626
"865",0.0654731
"866",0.0366025
"867",0.0485857
"868",0.0426773
"869",0.0573373
"870",0.242403
"871",0.0230757
"872",0.0333125
"873",0.0146881
"874",0.140817
"875",0.0329343
"876",0.144428
"877",0.128792
"878",0.055759
"879",0.0951756
"880",0.0881396
"881",0.145361
"882",0.0616754
"883",0.139162
"884",0.0368795
"885",0.145807
"886",0.0894924
"887",0.0136518
"888",0.119075
"889",0.0723185
"890",0.06931
"891",0.0649425
"892",0.0141673
"893",0.106597
"894",0.136267
"895",0.0437994
"896",0.0507722
"897",0.0247328
"898",0.266283
"899",0.105487
"900",0.0753921
"901",0.0309813
"902",0.0440467
"903",0.16571
"904",0.0387581
"905",0.0371883
"906",0.0353407
"907",0.0458669
"908",0.0216747
"909",0.0635581
"910",0.0697357
"911",0.0289342
"912",0.0680251
"913",0.051082
"914",0.0295197
"915",0.0552016
"916",0.215083
"917",0.0408656
"918",0.0174968
"919",0.141505
"920",0.0164487
"921",0.123365
"922",0.0203868
"923",0.121859
"924",0.0785321
"925",0.261639
"926",0.0897848
"927",0.0989847
"928",0.100302
"929",0.0317256
"930",0.0797506
"931",0.0928623
"932",0.132581
"933",0.4144
"934",0.164628
"935",0.0469416
"936",0.121571
"937",0.119495
"938",0.0433846
"939",0.287655
"940",0.0116594
"941",0.148038
"942",0.0890827
"943",0.00928559
"944",0.219018
"945",0.0939869
"946",0.222523
"947",0.268317
"948",0.0129148
"949",0.350782
"950",0.771777
"951",0.0177397
"952",0.0790012
"953",0.010677
"954",0.0246466
"955",0.0780468
"956",0.323385
"957",0.0321962
"958",0.0267487
"959",0.0314677
"960",0.0625317
"961",0.0434583
"962",0.0109883
"963",0.0516525
"964",0.0732853
"965",0.0224388
"966",0.104775
"967",0.142634
"968",0.0122645
"969",0.113889
"970",0.0347169
"971",0.0229256
"972",0.080517
"973",0.0524174
"974",0.0843598
"975",0.144012
"976",0.016858
"977",0.108346
"978",0.0422101
"979",0.0182529
"980",0.104837
"981",0.0322512
"982",0.160296
"983",0.112048
"984",0.258422
"985",0.0532358
"986",0.16835
"987",0.168657
"988",0.0502648
"989",0.0909036
"990",0.0324318
"991",0.0687805
"992",0.0463091
"993",0.170758
"994",0.0948639
"995",0.220721
"996",0.0216746
"997",0.0881364
"998",0.397736
"999",0.250687
"1000",0.0571621
"1001",0.04573
"1002",0.0591149
"1003",0.237853
"1004",0.0277817
"1005",0.0891474
"1006",0.0108203
"1007",0.0162692
"1008",0.0157568
"1009",0.0134933
"1010",0.187175
"1011",0.461842
"1012",0.0521716
"1013",0.0579632
"1014",0.0423525
"1015",0.104828
"1016",0.0924242
"1017",0.0759152
"1018",0.113482
"1019",0.0272459
"1020",0.063921
"1021",0.192615
"1022",0.234235
"1023",0.234638
"1024",0.0837812
"1025",0.0731921
"1026",0.0309083
"1027",0.0226863
"1028",0.138273
"1029",0.0840818
"1030",0.1447
"1031",0.267963
"1032",0.0525562
"1033",0.0784231
"1034",0.0910177
"1035",0.10455
"1036",0.033491
