,iat,lt,tot,pt,name,cmean,cEffCount,cvar,upper,lower,error
34,60.0,30.0,15.0,90.0,HoldingQueueWaitingTime:vector,78.06560284242511,1190.9092454936992,10553.346984108484,83.90010582742838,72.23109985742184,11.669005970006538
35,60.0,30.0,15.0,90.0,ParkedPlanes:vector,1.955518849606683,3903.4636865820135,1.6568753837738512,1.9958990009275053,1.915138698285861,0.08076030264164435
36,90.0,15.0,15.0,60.0,AirportResponseTime:vector,105.05699537071787,4759.1500529209225,4766.166850123345,107.018403689248,103.09558705218774,3.922816637060265
37,90.0,15.0,15.0,60.0,DepartQueueSize:vector,0.376135524277718,4236.003009365464,0.4240041021451509,0.39574450367390324,0.3565265448815328,0.039217958792370444
38,90.0,15.0,15.0,60.0,DepartQueueWaitingTime:vector,7.520317720105124,3820.754065922672,283.050415098984,8.053782125528597,6.986853314681651,1.066928810846946
39,90.0,15.0,15.0,60.0,HoldingQueueSize:vector,0.3770742306720633,4384.323332661578,0.4247227455089404,0.3963650006917893,0.3577834606523373,0.03858154003945202
40,90.0,15.0,15.0,60.0,HoldingQueueWaitingTime:vector,7.547707319195044,3879.921570704988,282.8252131360308,8.076877884822794,7.018536753567294,1.0583411312555002
41,90.0,15.0,15.0,60.0,ParkedPlanes:vector,1.1698492679201367,801.2408695114816,0.9205358366092862,1.2362827313396048,1.1034158045006686,0.1328669268389362
42,90.0,15.0,15.0,90.0,AirportResponseTime:vector,135.08465549098202,4857.049136821687,9232.212833217096,137.78683842250044,132.3824725594636,5.404365863036844
43,90.0,15.0,15.0,90.0,DepartQueueSize:vector,0.3766814403382625,4301.879402277505,0.4243911412255507,0.3961485793568156,0.35721430131970944,0.03893427803710614
44,90.0,15.0,15.0,90.0,DepartQueueWaitingTime:vector,7.529470365700434,3879.7495063722045,281.8408011395906,8.057730916778707,7.001209814622162,1.0565211021565455
45,90.0,15.0,15.0,90.0,HoldingQueueSize:vector,0.37734526994262396,4373.540109008309,0.4255712519055618,0.3966790901505165,0.3580114497347314,0.038667640415785076
46,90.0,15.0,15.0,90.0,HoldingQueueWaitingTime:vector,7.550227145093695,3886.9659090184987,283.9580692447005,8.07997576318969,7.020478526997699,1.0594972361919917
