time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
577,0.126652
578,0.137136
579,0.11993
580,0.156411
581,0.143951
582,0.141626
583,0.147542
584,0.189553
585,0.185407
586,0.171622
587,0.171762
588,0.184205
589,0.162901
590,0.146864
591,0.128403
592,0.122088
593,0.109112
594,0.0955074
595,0.116939
596,0.127325
597,0.126468
598,0.105198
599,0.0989316
600,0.0993094
601,0.111116
602,0.104125
603,0.090969
604,0.0835537
605,0.0943367
606,0.0991255
607,0.0829671
608,0.0839013
609,0.0806939
610,0.0656291
611,0.0775164
612,0.0680042
613,0.0598765
614,0.0739484
615,0.0845897
616,0.0688627
617,0.0487336
618,0.055213
619,0.0569374
620,0.0547844
621,0.0660188
622,0.0686792
623,0.066931
624,0.073853
625,0.109343
626,0.125429
627,0.118827
628,0.126631
629,0.1273
630,0.139115
631,0.117322
632,0.11956
633,0.140981
634,0.141202
635,0.166174
636,0.125056
637,0.117367
638,0.114258
639,0.141842
640,0.163685
641,0.147498
642,0.145405
643,0.150776
644,0.137785
645,0.132081
646,0.122178
647,0.10156
648,0.0857327
649,0.0870396
650,0.0810695
651,0.059174
652,0.0872874
653,0.0979547
654,0.110291
655,0.104731
656,0.101198
657,0.08853
658,0.0734711
659,0.0769573
660,0.0827786
661,0.0888772
662,0.100635
663,0.0966898
664,0.0847139
665,0.0836102
666,0.0901445
667,0.101039
668,0.0725678
669,0.082091
670,0.0848044
671,0.0496237
672,0.0603858
673,0.0918725
674,0.0819909
675,0.0790065
676,0.0952111
677,0.094446
678,0.100757
679,0.104192
680,0.0924929
681,0.0777143
682,0.0812093
683,0.0879466
684,0.0837148
685,0.0672694
686,0.0653236
687,0.0612635
688,0.0654595
689,0.0940096
690,0.115294
691,0.123664
692,0.125418
693,0.137605
694,0.11664
695,0.111338
696,0.106935
697,0.14278
698,0.144813
699,0.137045
700,0.132754
701,0.140924
702,0.144902
703,0.137621
704,0.129581
705,0.123321
706,0.129752
707,0.144015
708,0.122118
709,0.124466
710,0.120637
711,0.10701
712,0.10441
713,0.103616
714,0.0987545
715,0.101624
716,0.136464
717,0.142341
718,0.118256
719,0.11822
720,0.113285
721,0.127611
722,0.112129
723,0.101666
724,0.111903
725,0.124505
726,0.111478
727,0.133185
728,0.149654
729,0.16634
730,0.15598
731,0.141143
732,0.16018
733,0.176726
734,0.173003
735,0.15583
736,0.137765
737,0.167126
738,0.158763
739,0.176546
740,0.175968
741,0.161886
742,0.154986
743,0.149668
744,0.145143
745,0.12986
746,0.123422
747,0.137985
748,0.138535
749,0.134828
750,0.126609
751,0.130887
752,0.137157
753,0.125855
754,0.115574
755,0.128828
756,0.111444
757,0.0929805
758,0.0858936
759,0.0911784
760,0.136944
761,0.130246
762,0.1183
763,0.129295
764,0.143028
765,0.144002
766,0.147389
767,0.118469
768,0.124263
769,0.152564
770,0.156164
771,0.166411
772,0.164909
773,0.171446
774,0.172828
775,0.164952
776,0.168802
777,0.163777
778,0.147368
779,0.136051
780,0.131375
781,0.142185
782,0.146013
783,0.184939
784,0.175993
785,0.194404
786,0.167002
787,0.153655
788,0.162869
789,0.163906
790,0.176813
791,0.172797
792,0.164164
793,0.152737
794,0.145884
795,0.150058
796,0.142134
797,0.191291
798,0.187987
799,0.182427
800,0.16104
801,0.145967
802,0.132398
803,0.149105
804,0.158686
805,0.165408
806,0.174827
807,0.167857
808,0.165978
809,0.162668
810,0.17107
811,0.144088
812,0.149594
813,0.1704
814,0.213737
815,0.205223
816,0.196602
817,0.16796
818,0.169557
819,0.189564
820,0.165857
821,0.182323
822,0.164468
823,0.151118
824,0.151401
825,0.146036
826,0.153766
827,0.140673
828,0.122759
829,0.134934
830,0.123816
831,0.125254
832,0.120186
833,0.121554
834,0.130169
835,0.12711
836,0.121657
837,0.117503
838,0.117243
839,0.108017
840,0.108698
841,0.126919
842,0.129011
843,0.144781
844,0.149614
845,0.174526
846,0.185745
847,0.204753
848,0.22811
849,0.21403
850,0.207773
851,0.2049
852,0.195062
853,0.195071
854,0.179166
855,0.183074
856,0.17565
857,0.172548
858,0.193219
859,0.177057
860,0.170191
861,0.161702
862,0.163354
863,0.153306
864,0.157253
865,0.139497
866,0.133903
867,0.13684
868,0.137352
869,0.135601
870,0.135345
871,0.140335
872,0.13584
873,0.166265
874,0.15468
875,0.140903
876,0.14855
877,0.126147
878,0.139816
879,0.1375
880,0.147313
881,0.136066
882,0.124694
883,0.136326
884,0.141419
885,0.126285
886,0.128192
887,0.125391
888,0.132558
889,0.16889
890,0.152148
891,0.167055
892,0.152569
893,0.130342
894,0.117749
895,0.128133
