time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector);timetoserial(responseTimeStats:vector))
1231,0.173834
1232,0.158786
1233,0.150803
1234,0.124884
1235,0.126544
1236,0.116208
1237,0.133188
1238,0.144714
1239,0.141892
1240,0.152656
1241,0.156144
1242,0.152422
1243,0.151217
1244,0.147009
1245,0.141982
1246,0.144259
1247,0.114425
1248,0.127907
1249,0.143424
1250,0.132621
1251,0.125568
1252,0.133948
1253,0.128143
1254,0.144861
1255,0.157043
1256,0.152194
1257,0.153635
1258,0.154302
1259,0.135761
1260,0.13367
1261,0.130604
1262,0.125099
1263,0.126582
1264,0.12601
1265,0.134322
1266,0.136615
1267,0.129204
1268,0.141123
1269,0.157577
1270,0.146959
1271,0.160193
1272,0.150389
1273,0.149562
1274,0.143619
1275,0.144063
1276,0.134015
1277,0.107303
1278,0.133107
1279,0.12728
1280,0.134344
1281,0.117161
1282,0.0932688
1283,0.088195
1284,0.0942638
1285,0.120743
1286,0.133493
1287,0.129607
1288,0.139556
1289,0.160425
1290,0.173209
1291,0.246197
1292,0.226356
1293,0.226364
1294,0.219265
1295,0.227144
1296,0.234583
1297,0.251062
1298,0.241413
1299,0.238295
1300,0.21908
1301,0.207756
1302,0.228531
1303,0.241286
1304,0.244004
1305,0.208412
1306,0.221552
1307,0.18398
1308,0.178442
1309,0.192148
1310,0.178915
1311,0.179558
1312,0.185931
1313,0.177572
1314,0.144092
1315,0.141997
1316,0.129993
1317,0.137382
1318,0.106942
1319,0.0808801
1320,0.064446
1321,0.13922
1322,0.149591
1323,0.135321
1324,0.157682
1325,0.129539
1326,0.111188
1327,0.11619
1328,0.125729
1329,0.125147
1330,0.108335
1331,0.123162
1332,0.13756
1333,0.151613
1334,0.144704
1335,0.117273
1336,0.111894
1337,0.105918
1338,0.0870836
1339,0.099996
1340,0.110802
1341,0.104435
1342,0.100333
1343,0.106149
1344,0.112208
1345,0.126579
1346,0.115716
1347,0.0925068
1348,0.116398
1349,0.137833
1350,0.139896
1351,0.169305
1352,0.16764
1353,0.154314
1354,0.148186
1355,0.141934
1356,0.136212
1357,0.127507
1358,0.129203
1359,0.111181
1360,0.0896016
1361,0.103624
1362,0.0897458
1363,0.096306
1364,0.0931988
1365,0.0881063
1366,0.0891284
1367,0.078151
1368,0.0861616
1369,0.0812798
1370,0.103176
1371,0.0983669
1372,0.0878191
1373,0.0753342
1374,0.07419
1375,0.0766204
1376,0.0741246
1377,0.0827871
1378,0.0821339
1379,0.123388
1380,0.117873
1381,0.102017
1382,0.102498
1383,0.10918
1384,0.110419
1385,0.0897993
1386,0.106056
1387,0.0878728
1388,0.0751664
1389,0.10388
1390,0.119648
1391,0.122352
1392,0.125828
1393,0.146814
1394,0.177085
1395,0.164843
1396,0.169485
1397,0.131879
1398,0.121483
1399,0.107518
1400,0.0957421
1401,0.0810819
1402,0.0710838
1403,0.0714341
1404,0.103382
1405,0.107458
1406,0.138449
1407,0.124477
1408,0.103457
1409,0.122759
1410,0.151683
1411,0.151246
1412,0.14073
1413,0.141004
1414,0.143227
1415,0.14532
1416,0.146323
1417,0.150526
1418,0.143005
1419,0.140652
1420,0.159119
1421,0.16374
1422,0.149355
1423,0.143313
1424,0.143498
1425,0.160202
1426,0.162177
1427,0.143857
1428,0.174072
1429,0.179215
1430,0.172519
1431,0.201892
1432,0.185466
1433,0.164685
1434,0.150757
1435,0.168511
1436,0.161416
1437,0.189162
1438,0.17564
1439,0.183725
1440,0.196985
1441,0.182802
1442,0.183788
1443,0.19727
1444,0.195803
1445,0.212113
1446,0.205518
1447,0.176525
1448,0.177824
1449,0.17007
1450,0.168819
1451,0.168274
1452,0.159454
1453,0.153999
1454,0.149033
1455,0.135884
1456,0.134448
1457,0.120485
1458,0.14212
1459,0.179949
1460,0.180711
1461,0.179796
1462,0.1775
1463,0.188506
1464,0.188641
1465,0.184258
1466,0.182899
1467,0.173779
1468,0.157365
1469,0.132886
1470,0.125372
1471,0.129397
1472,0.143911
1473,0.138314
1474,0.130575
1475,0.113938
1476,0.138202
1477,0.13844
1478,0.132715
1479,0.157991
1480,0.148981
1481,0.147482
1482,0.143782
1483,0.135399
1484,0.134804
1485,0.119082
1486,0.136979
1487,0.134493
1488,0.126242
1489,0.121827
1490,0.112312
1491,0.0993629
1492,0.0849895
1493,0.112008
1494,0.106666
1495,0.09808
1496,0.0963829
1497,0.112083
1498,0.110047
1499,0.140025
1500,0.134793
1501,0.146097
1502,0.128875
1503,0.168458
1504,0.155067
1505,0.144129
1506,0.136051
1507,0.111545
1508,0.119114
1509,0.116261
1510,0.124665
1511,0.123168
1512,0.13036
1513,0.117173
1514,0.10862
1515,0.125107
1516,0.150043
1517,0.115926
1518,0.118245
1519,0.125832
1520,0.124215
1521,0.149277
1522,0.130865
1523,0.119761
1524,0.123818
1525,0.112786
1526,0.119238
1527,0.112978
1528,0.114535
1529,0.129806
1530,0.0994179
1531,0.112345
1532,0.151082
1533,0.136425
1534,0.127021
1535,0.117935
1536,0.114711
1537,0.115179
1538,0.114417
1539,0.0971262
1540,0.0946791
1541,0.0918269
1542,0.0822799
1543,0.0981525
1544,0.104729
1545,0.0933277
1546,0.0861657
1547,0.0948894
1548,0.0803436
1549,0.0798825
1550,0.0821988
1551,0.0669799
1552,0.0554704
1553,0.0639999
1554,0.0818288
1555,0.0897951
1556,0.085365
1557,0.0803219
1558,0.0976431
1559,0.110679
1560,0.101607
1561,0.108286
1562,0.125207
1563,0.114552
1564,0.116127
1565,0.114377
1566,0.109194
1567,0.104835
1568,0.106469
1569,0.137231
1570,0.152808
1571,0.151875
1572,0.165615
1573,0.155815
1574,0.128051
1575,0.12559
1576,0.128707
1577,0.107836
1578,0.119971
1579,0.104474
1580,0.102513
1581,0.10807
1582,0.103777
1583,0.110128
1584,0.119418
1585,0.0965723
1586,0.104649
1587,0.10818
1588,0.0925522
1589,0.0966151
1590,0.102618
1591,0.101781
1592,0.0965008
1593,0.105468
1594,0.111542
1595,0.117073
1596,0.104489
1597,0.116438
1598,0.115238
1599,0.123592
1600,0.116673
1601,0.117698
1602,0.107061
1603,0.0920072
1604,0.134201
1605,0.118801
1606,0.107739
1607,0.112754
1608,0.0947492
1609,0.0991186
1610,0.0998204
1611,0.106592
1612,0.083216
1613,0.0868512
1614,0.0765049
1615,0.0737638
1616,0.0589678
1617,0.0476219
1618,0.0621565
1619,0.0600065
1620,0.0481965
1621,0.0566177
1622,0.0510848
1623,0.0532242
1624,0.0485868
1625,0.057256
1626,0.0835251
1627,0.107857
1628,0.0997817
1629,0.0919845
1630,0.112624
1631,0.0911928
1632,0.104478
1633,0.120688
1634,0.102274
1635,0.13634
1636,0.156299
1637,0.135649
1638,0.137134
1639,0.131173
1640,0.126464
1641,0.115928
1642,0.127404
1643,0.116283
1644,0.126821
1645,0.147265
1646,0.135739
1647,0.132734
1648,0.12503
1649,0.130126
1650,0.121953
1651,0.11619
1652,0.129271
1653,0.142489
1654,0.128768
1655,0.14244
1656,0.128572
1657,0.150357
1658,0.14017
1659,0.142996
1660,0.128491
1661,0.106715
1662,0.104738
1663,0.0807144
1664,0.0953657
1665,0.0826595
1666,0.0799552
1667,0.091083
1668,0.0979967
1669,0.0930686
1670,0.0952913
1671,0.118892
1672,0.084222
1673,0.100069
1674,0.116379
1675,0.136199
1676,0.127612
1677,0.123453
1678,0.120021
1679,0.118027
1680,0.110235
1681,0.0868172
1682,0.0753004
1683,0.07409
1684,0.0726158
1685,0.0586531
1686,0.0782696
1687,0.0818065
1688,0.102782
1689,0.106222
1690,0.0941535
1691,0.100428
1692,0.0923677
1693,0.103217
1694,0.109787
1695,0.107461
1696,0.0830391
1697,0.0858401
1698,0.0814375
1699,0.0760377
1700,0.0923027
1701,0.090027
1702,0.118512
1703,0.109886
1704,0.104244
1705,0.0949756
1706,0.121729
1707,0.100829
1708,0.106017
1709,0.0910341
1710,0.115048
1711,0.111319
1712,0.111732
1713,0.111353
1714,0.107668
1715,0.118391
1716,0.0990107
1717,0.115632
1718,0.0931808
1719,0.0947296
1720,0.0901467
1721,0.0941091
1722,0.111095
1723,0.115366
1724,0.120704
1725,0.12458
1726,0.107744
1727,0.0942233
1728,0.0774355
1729,0.0698457
1730,0.0493466
1731,0.0554141
1732,0.0850824
1733,0.0990772
1734,0.1083
1735,0.0936761
1736,0.076995
1737,0.10005
1738,0.136231
1739,0.111407
1740,0.0993999
1741,0.0999772
1742,0.0892621
1743,0.0894735
1744,0.10119
1745,0.100231
1746,0.114328
1747,0.0981635
1748,0.112468
1749,0.102259
1750,0.0990114
1751,0.111495
1752,0.0948081
1753,0.0796229
1754,0.0893781
1755,0.0709277
1756,0.0711569
1757,0.069326
1758,0.0957703
1759,0.0986223
1760,0.0769551
1761,0.0801344
1762,0.087465
1763,0.0848806
1764,0.0778575
1765,0.0591677
1766,0.0677341
1767,0.0814085
1768,0.0944416
1769,0.0890839
1770,0.088689
1771,0.0735291
1772,0.0792668
1773,0.0882075
1774,0.0934787
1775,0.0862856
1776,0.0750172
1777,0.0745441
1778,0.0751207
1779,0.0898524
1780,0.103795
1781,0.0908152
1782,0.0925081
1783,0.109096
1784,0.121367
1785,0.118803
1786,0.116388
1787,0.0956917
1788,0.0983437
1789,0.0870739
1790,0.0952636
1791,0.0847662
1792,0.100986
1793,0.0829452
1794,0.0995555
