time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
55750,0.116152
55751,0.112421
55752,0.150069
55753,0.147082
55754,0.131164
55755,0.136097
55756,0.14542
55757,0.12752
55758,0.131907
55759,0.133256
55760,0.138406
55761,0.14081
55762,0.129602
55763,0.13864
55764,0.127266
55765,0.118921
55766,0.0924378
55767,0.114826
55768,0.106735
55769,0.114637
55770,0.113862
55771,0.116109
55772,0.15261
55773,0.137051
55774,0.13572
55775,0.134749
55776,0.133126
55777,0.142208
55778,0.139341
55779,0.137712
55780,0.111006
55781,0.130866
55782,0.151648
55783,0.124962
55784,0.138698
55785,0.113586
55786,0.0977402
55787,0.107037
55788,0.122946
55789,0.122069
55790,0.112578
55791,0.113191
55792,0.12125
55793,0.200972
55794,0.195187
55795,0.19524
55796,0.195467
55797,0.163624
55798,0.17111
55799,0.193229
55800,0.184703
55801,0.202082
55802,0.18716
55803,0.176933
55804,0.156837
55805,0.182975
55806,0.17435
55807,0.163435
55808,0.181123
55809,0.174755
55810,0.17572
55811,0.158273
55812,0.157935
55813,0.16051
55814,0.154846
55815,0.155523
55816,0.175994
55817,0.176847
55818,0.195264
55819,0.17934
55820,0.164487
55821,0.160295
55822,0.14792
55823,0.129568
55824,0.1483
55825,0.130278
55826,0.132559
55827,0.134003
55828,0.119118
55829,0.110509
55830,0.111196
55831,0.0934976
55832,0.0923396
55833,0.116269
55834,0.129823
55835,0.135268
55836,0.0983307
55837,0.0739657
55838,0.077736
55839,0.0813505
55840,0.06564
55841,0.0689901
55842,0.0817074
55843,0.097438
55844,0.0773145
55845,0.0720022
55846,0.0563792
55847,0.0639744
55848,0.0712641
55849,0.056478
55850,0.0604811
55851,0.0514932
55852,0.0492854
55853,0.0747193
55854,0.0511394
55855,0.0557456
55856,0.0708867
55857,0.0783664
55858,0.0816457
55859,0.0909223
55860,0.0808949
55861,0.0843532
55862,0.084483
55863,0.101936
55864,0.101027
55865,0.0782194
55866,0.0663912
55867,0.0867099
55868,0.0750243
55869,0.10859
55870,0.0920587
55871,0.0724113
55872,0.0804463
55873,0.109715
55874,0.111489
55875,0.0911596
55876,0.0659353
55877,0.0848795
